year_month,year,month,zabol_aod,wwte_index,toward_pixel_count,source_valid_pixel_count,source_aod_mean,source_aod_toward_mean,mean_dist_decay,mean_cosang_toward,high_toward_aod_mean,high_toward_fraction,wwte_index_norm
2007-02,2007,02,0.1331552118062973,0.005567812826484442,58514,138174,0.19415241479873657,0.19499598443508148,0.21604276793874216,0.6311352849006653,0.3630203604698181,0.25101685066821616,0.12717542507634372
2007-03,2007,03,0.18887090682983398,0.00884042214602232,70513,156992,0.23128144443035126,0.22259323298931122,0.2016580052511763,0.6766341924667358,0.3841673731803894,0.25032263554238227,0.23461963124723428
2007-04,2007,04,0.09392575174570084,0.00921554397791624,90313,168090,0.2597188651561737,0.22786803543567657,0.16632430993467673,0.6494724154472351,0.42623066902160645,0.2500525948645267,0.2469353901753131
2007-05,2007,05,0.0949275866150856,0.016501378268003464,82566,179095,0.2572275400161743,0.265423983335495,0.17865373887481736,0.6275593042373657,0.4903161823749542,0.2505510742920815,0.48613921964482554
2007-06,2007,06,0.08700084686279297,0.020949937403202057,130729,177888,0.30087438225746155,0.3010060489177704,0.14138560597643018,0.6668744087219238,0.6463000774383545,0.2503652594298128,0.6321914544875626
2007-07,2007,07,0.08476869761943817,0.02315211109817028,132765,173278,0.32530471682548523,0.3220600187778473,0.13471609810749824,0.6955510973930359,0.7047535181045532,0.25002824539600044,0.7044918061041403
2007-08,2007,08,0.09165845811367035,0.01805393025279045,112241,174708,0.27493536472320557,0.2882886230945587,0.1422761094204355,0.6611864566802979,0.5494822263717651,0.2503185110610205,0.5371116087254855
2007-09,2007,09,0.10310039669275284,0.013724107295274734,97112,180340,0.23891401290893555,0.25058966875076294,0.1483997657719197,0.6505568623542786,0.47582992911338806,0.25054576159485953,0.39495764376749704
2007-10,2007,10,0.14479050040245056,0.007025966886430979,59318,181204,0.18620184063911438,0.18103289604187012,0.17071885389343922,0.604630172252655,0.347318559885025,0.2500590040122728,0.17504860214959733
2007-11,2007,11,0.10733618587255478,0.003578400472179055,61101,166976,0.16395224630832672,0.15867580473423004,0.21338381552964203,0.5551941990852356,0.32351094484329224,0.2501759382006841,0.06186031707405754
2007-12,2007,12,0.1309230774641037,0.0025594879407435656,43835,134447,0.17278695106506348,0.15456126630306244,0.20762327530981475,0.5204384922981262,0.2935841977596283,0.2500513288468119,0.028408035604322625
2008-01,2008,01,0.09995429962873459,0.004812575876712799,35230,118494,0.1842835247516632,0.17405878007411957,0.19182913928899317,0.5447085499763489,0.3098304867744446,0.2501561169457848,0.10237997086349639
2008-02,2008,02,0.35654526948928833,0.007252299692481756,40929,131631,0.2591187357902527,0.24193377792835236,0.20008098342786743,0.5742254853248596,0.488603413105011,0.25014048718512544,0.18247941539436002
2008-03,2008,03,0.20180681347846985,0.007157169282436371,61290,171418,0.2700779438018799,0.31300055980682373,0.19986780038152854,0.5723656415939331,0.5849149227142334,0.2501550008157938,0.17935615490340687
2008-04,2008,04,0.1307649165391922,0.018441874533891678,83968,176260,0.3267413079738617,0.34441953897476196,0.19125295807309214,0.6543797850608826,0.6331790089607239,0.2501905487804878,0.5498483460661173
2008-05,2008,05,0.1446850448846817,0.017195696011185646,114863,177688,0.27608591318130493,0.2608562707901001,0.16152976404983685,0.7206493020057678,0.4914914071559906,0.25001958855332,0.5089346136141577
2008-06,2008,06,0.5526574850082397,0.02851184830069542,137243,179195,0.3925922214984894,0.38028308749198914,0.14654821490737702,0.6958721876144409,0.9032555818557739,0.25002368062487706,0.880459253722123
2008-07,2008,07,0.4968011677265167,0.028030354529619217,134780,176129,0.39516890048980713,0.36934447288513184,0.13621407529043586,0.7364844083786011,0.8322561383247375,0.25002967799376763,0.8646511596423762
2008-08,2008,08,0.47562217712402344,0.024747520685195923,120333,176655,0.3351918160915375,0.3394840359687805,0.1401600096649344,0.63739413022995,0.6343021988868713,0.25004778406588385,0.7568712684408192
2008-09,2008,09,0.2976834774017334,0.01877073012292385,99340,179946,0.2971981167793274,0.30199316143989563,0.15920325381972417,0.6620440483093262,0.5635970830917358,0.25053352124018524,0.560645121439663
2008-10,2008,10,0.20221106708049774,0.00737384706735611,70583,180973,0.20275866985321045,0.21310751140117645,0.18561858567500686,0.5991525650024414,0.40251070261001587,0.2505844183443605,0.18646998069879872
2008-11,2008,11,0.1387619525194168,0.004018938168883324,36373,173950,0.15918999910354614,0.16422541439533234,0.2192189508583523,0.5151026248931885,0.28952646255493164,0.2502130701344404,0.07632376763876673
2008-12,2008,12,0.14948327839374542,0.0029154743533581495,53618,149986,0.15202270448207855,0.14403417706489563,0.21539079675056233,0.5405120849609375,0.25802576541900635,0.2510164496997277,0.04009555274321476
2009-01,2009,01,0.14101167023181915,0.0033172783441841602,36826,126547,0.1837652176618576,0.1722739338874817,0.2298542980033342,0.5704345703125,0.31383487582206726,0.250665290827133,0.053287323167156696
2009-02,2009,02,0.22542884945869446,0.004491779953241348,54893,136217,0.2629643976688385,0.26684504747390747,0.21594967710064983,0.6122094392776489,0.5232165455818176,0.25003188020330464,0.09184780525042684
2009-03,2009,03,0.22632522881031036,0.009003758430480957,71816,160388,0.2709226608276367,0.2715553045272827,0.1956120888942761,0.6131435036659241,0.5339677333831787,0.2503063384204077,0.2399821831772151
2009-04,2009,04,0.18637515604496002,0.007313122041523457,80245,173531,0.29979169368743896,0.28141114115715027,0.16429039864091033,0.675582766532898,0.5025924444198608,0.25014642656863356,0.1844762956731087
2009-05,2009,05,0.1538272351026535,0.014338945038616657,107940,177409,0.2909305691719055,0.2707025110721588,0.15731461342634168,0.6852179169654846,0.5328338742256165,0.2500741152492125,0.41514360145663637
2009-06,2009,06,0.1257959008216858,0.01851661317050457,98970,178734,0.3189145028591156,0.31967467069625854,0.15415577648710285,0.6686049103736877,0.6413378715515137,0.25006567646761646,0.5523021169556719
2009-07,2009,07,0.16470403969287872,0.029278505593538284,131415,176077,0.4193866550922394,0.4077419936656952,0.13513999901100485,0.6785529255867004,0.868319034576416,0.25007038770307805,0.9056296532998696
2009-08,2009,08,0.22233548760414124,0.023097136989235878,127539,175758,0.3332705497741699,0.31949368119239807,0.14289041908225122,0.7073358297348022,0.6726329326629639,0.25014309348513003,0.7026869314864628
2009-09,2009,09,0.20078741014003754,0.012988756410777569,102198,180072,0.21610596776008606,0.20974305272102356,0.15632774522009488,0.6386579871177673,0.38743045926094055,0.2501027417366289,0.37081507607077696
2009-10,2009,10,0.1940382421016693,0.00911568570882082,60485,181089,0.2052610069513321,0.21567055583000183,0.19564328436044803,0.5968838930130005,0.4001484811306,0.25017773001570637,0.24365690765419393
2009-11,2009,11,0.16602221131324768,0.002544679446145892,57588,162094,0.1722532957792282,0.16044127941131592,0.1929908444442184,0.5336787700653076,0.32421875,0.25012155310134054,0.027921852625763605
2009-12,2009,12,0.13805891573429108,0.0021050034556537867,42838,137347,0.16835597157478333,0.15583768486976624,0.2019779871519453,0.5502973198890686,0.30206507444381714,0.2501984219618096,0.013486693045671988
2010-01,2010,01,0.1621379554271698,0.0027261562645435333,43872,133205,0.17725259065628052,0.16270767152309418,0.21292804344858504,0.5641823410987854,0.31471821665763855,0.25027352297593,0.033879982908759564
2010-02,2010,02,0.2977010905742645,0.006006170529872179,55863,132130,0.22107645869255066,0.22264452278614044,0.21593336327232857,0.6594131588935852,0.40073907375335693,0.2500760789789306,0.14156730350136787
2010-03,2010,03,0.142048642039299,0.010574143379926682,66788,156258,0.24850940704345703,0.22361256182193756,0.19200276433668337,0.6257221698760986,0.44555234909057617,0.25043420973827635,0.29154005269392724
2010-04,2010,04,0.11023622006177902,0.009577110409736633,88765,174960,0.24778050184249878,0.2278432846069336,0.17163402532227737,0.6019715070724487,0.4285491704940796,0.250492874443756,0.2588061069189998
2010-05,2010,05,0.11403261125087738,0.014274224638938904,93169,177463,0.270481139421463,0.2637103497982025,0.1724001658015961,0.6797562837600708,0.5058098435401917,0.25027637948244585,0.41301874288432716
2010-06,2010,06,0.11058775335550308,0.018413133919239044,105440,178262,0.31470295786857605,0.32015860080718994,0.15552271978462825,0.6683793663978577,0.6129216551780701,0.2500284522003035,0.5489047526748195
2010-07,2010,07,0.24151083827018738,0.024720488116145134,120028,173795,0.37341609597206116,0.38034626841545105,0.14342229834940962,0.6700345873832703,0.7715887427330017,0.2502999300163295,0.7559837525051156
2010-08,2010,08,0.29270365834236145,0.019469551742076874,114893,174683,0.38065963983535767,0.3836773931980133,0.1439542811175461,0.6574670076370239,0.6389831900596619,0.2500326390641728,0.5835883837706386
2010-09,2010,09,0.37352365255355835,0.012775466777384281,89479,180545,0.2370738834142685,0.2511627674102783,0.16132103973179487,0.6602660417556763,0.46105292439460754,0.2500027939516535,0.36381248788904497
2010-10,2010,10,0.18111993372440338,0.009939904324710369,81290,178050,0.18666568398475647,0.18688994646072388,0.1808541810404287,0.6125350594520569,0.3645671308040619,0.25057202607946855,0.2707171236007854
2010-11,2010,11,0.10705497115850449,0.004346802830696106,39670,174553,0.1623891443014145,0.15966647863388062,0.22766286563043653,0.5548548698425293,0.3059804141521454,0.25049155533148476,0.08708800952662406
2010-12,2010,12,0.17245499789714813,0.0040804618038237095,40203,149597,0.18807187676429749,0.18579478561878204,0.20220467226709135,0.5452648401260376,0.34781891107559204,0.2501554610352461,0.07834367208548842
2011-01,2011,01,0.14522989094257355,0.0027393903583288193,43656,138239,0.17206917703151703,0.16613206267356873,0.21042972068965096,0.5002506971359253,0.294888436794281,0.2514889133223383,0.0343144761715704
2011-02,2011,02,0.10204584151506424,0.006157907657325268,60678,128229,0.21361465752124786,0.21210600435733795,0.20386176718212418,0.6644299030303955,0.390284925699234,0.25046969247503215,0.1465490393622651
2011-03,2011,03,0.1513500064611435,0.0076341512612998486,64502,150717,0.24670590460300446,0.21174579858779907,0.1964674818872131,0.6204469799995422,0.4332068860530853,0.2508139282502868,0.19501612072054378
2011-04,2011,04,0.08754569292068481,0.01138392649590969,78411,171674,0.29230278730392456,0.2980763912200928,0.17808691105338914,0.6627255082130432,0.5666607618331909,0.2500414482661871,0.31812633158396925
2011-05,2011,05,0.12157268822193146,0.017002835869789124,114931,176907,0.27946507930755615,0.2486833781003952,0.1563054006509812,0.64830082654953,0.4998549222946167,0.25021099616291514,0.5026027533854881
